character,fav_count,copyright
jessica_rabbit,44658,who_framed_roger_rabbit
mr._shark_(the_bad_guys),44520,the_bad_guys
drossel_von_flugel_(fireball),44488,fireball_(disney)
peanut_butter_(housepets!),44336,housepets!
jenny_(bucky_o'hare),44266,bucky_o'hare_(series)
zorori,44246,kaiketsu_zorori
jasiri_(tlg),44196,the_lion_guard
sparx,44181,spyro_the_dragon
harley_quinn,43933,batman_(series)
bluey_heeler,43876,bluey_(series)
honey_the_cat,43829,sonic_the_fighters
leonardo_(tmnt),43507,teenage_mutant_ninja_turtles
urdnot_wrex,43443,mass_effect
chip_(sonic),43371,sonic_unleashed
king_dedede,43298,kirby_(series)
agent_8_(splatoon),42995,splatoon
candy_kong,42976,donkey_kong_(series)
isabella_bandicoot,42791,crash_bandicoot_(series)
solar_flare_(pvz),42788,plants_vs._zombies_heroes
coco_(animal_crossing),42574,animal_crossing
koops,42289,paper_mario
jake_the_dog,42206,adventure_time
pit_(kid_icarus),42177,kid_icarus
mothra,41963,mothra_(series)
garrus_vakarian,41960,mass_effect
yooka,41929,yooka-laylee
renimpmon_x,41675,digimon
sunny_starscout_(mlp),41652,mlp_g5
april_o'neil,41651,teenage_mutant_ninja_turtles
zoe_trent,41511,littlest_pet_shop
kate_(alpha_and_omega),41383,alpha_and_omega
sugar_belle_(mlp),41279,friendship_is_magic
adagio_dazzle_(eg),41183,equestria_girls
berri,41182,conker's_bad_fur_day
shu-chi,40946,nekojishi
goofy_(disney),40688,disney
mirage_(disney),40662,disney's_aladdin
pumpkin_cake_(mlp),40233,friendship_is_magic
mettaton,40101,undertale
kyle_(animal_crossing),40031,animal_crossing
m'ress,40021,star_trek_the_animated_series
annoying_dog_(undertale),39886,undertale_(series)
tangy_(animal_crossing),39842,animal_crossing
princess_carolyn,39813,bojack_horseman
ice_bear,39784,we_bare_bears
chief_komiya,39782,aggressive_retsuko
leon_powalski,39657,star_fox
jeanette_miller,39626,alvin_and_the_chipmunks
clank_(ratchet_and_clank),39506,ratchet_and_clank
dtz_(cdrr),39476,chip_'n_dale_rescue_rangers
tai_lung_(kung_fu_panda),39402,kung_fu_panda
squigly,39046,skullgirls
sylvia_marpole,38797,goof_troop
bernard_(ok_k.o.!_lbh),38731,ok_k.o.!_let's_be_heroes
chun-li,38642,street_fighter
sylvester,38639,looney_tunes
silverstream_(mlp),38365,friendship_is_magic
melon_(beastars),38353,beastars
brittany_miller,38197,alvin_and_the_chipmunks
gummy_(mlp),38123,friendship_is_magic
moondancer_(mlp),37947,friendship_is_magic
master_crane,37890,kung_fu_panda
yakko_warner,37744,animaniacs
pipp_petals_(mlp),37547,mlp_g5
pavita_pechugona,37454,la_pavita_pechugona
hazel_(animal_crossing),37413,animal_crossing
cloud_chaser_(mlp),37337,friendship_is_magic
barrel_(live_a_hero),37123,live_a_hero
sonata_dusk_(eg),36966,equestria_girls
kirara_(inuyasha),36769,inuyasha
katt_(animal_crossing),36686,animal_crossing
cthulhu,36664,cthulhu_mythos
hobbes,36604,calvin_and_hobbes
nani_pelekai,36331,lilo_and_stitch
naruto_uzumaki,36102,naruto
gantu,36034,lilo_and_stitch
spongebob_squarepants_(character),35950,spongebob_squarepants
chance_furlong,35840,swat_kats
spider-man_(character),35784,spider-man_(series)
chen_(touhou),35015,touhou
cloudy_quartz_(mlp),34975,friendship_is_magic
grunt_(pokemon),34929,pokemon
takato_matsuki,34847,digimon
shiron,34772,legendz
wakko_warner,34731,animaniacs
panther_caroso,34675,star_fox
simon_seville,34456,alvin_and_the_chipmunks
laylee,34440,yooka-laylee
selene_(pokemon),34276,pokemon
dust_(elysian_tail),34266,dust:_an_elysian_tail
spy_(team_fortress_2),33858,team_fortress_2
stith,33727,titan_a.e.
daisy_duck,33673,disney
flitter_(mlp),33406,friendship_is_magic
drum_bunker_dragon,33388,future_card_buddyfight
lady_bow,33104,paper_mario
dr._k_(changed),33099,changed_(video_game)
azir_(lol),32990,league_of_legends
katt_monroe,32951,star_fox
mamoru-kun,32945,mamoru-kun_(series)
pj_(goof_troop),32776,goof_troop
kled_(lol),32702,league_of_legends
heavy_(team_fortress_2),32423,team_fortress_2
wile_e._coyote,32291,looney_tunes
ben_(zenless_zone_zero),32135,zenless_zone_zero
mr._cake_(mlp),32070,friendship_is_magic
crunch_bandicoot,32009,crash_bandicoot_(series)
counting_cougar,31972,t.u.f.f._puppy
dudley_puppy,31904,t.u.f.f._puppy
sarah_silkie,31855,las_lindas
batman,31821,batman_(series)
doctor_whooves_(mlp),31694,friendship_is_magic
goombella,31074,paper_mario
lancer_(deltarune),30862,deltarune
slappy_squirrel,30804,animaniacs
scout_(team_fortress_2),30430,team_fortress_2
navi,30320,ocarina_of_time
kimahri,30120,final_fantasy
reisen_udongein_inaba,30056,touhou
infinite_(sonic),30041,sonic_forces
garble_(mlp),29941,friendship_is_magic
peter_pete_sr.,29687,goof_troop
cuphead_(character),29638,cuphead_(game)
berry_punch_(mlp),29583,friendship_is_magic
mabel_pines,29582,gravity_falls
namah_calah,29501,dreamkeepers
cosmo_the_seedrian,29362,sonic_x
funtime_freddy_(fnafsl),29337,sister_location
chip_(disney),29303,disney
teddy_(animal_crossing),29153,animal_crossing
madam_reni_(twokinds),29008,twokinds
flash_sentry_(mlp),28897,friendship_is_magic
stu_hopps,28853,zootopia
pac-man,28754,pac-man_(series)
lightning_dust_(mlp),28642,friendship_is_magic
sythe_(twokinds),28339,twokinds
goku,28151,dragon_ball
burgerpants,28127,undertale_(series)
sphinx_(mlp),28124,friendship_is_magic
carol_tea,28089,freedom_planet
cheetara,27879,thundercats
pooh_bear,27801,winnie_the_pooh_(franchise)
von_lycaon,27685,zenless_zone_zero
solid_snake,27653,metal_gear
caramel_(mlp),27560,friendship_is_magic
aryanne_(character),27500,my_little_pony
lisa_simpson,27477,the_simpsons
francine_(animal_crossing),27477,animal_crossing
yona_yak_(mlp),27403,friendship_is_magic
kouya_(morenatsu),27369,morenatsu
thorax_(mlp),27221,friendship_is_magic
arizona_cow_(tfh),27206,them's_fightin'_herds
fleetfoot_(mlp),27187,friendship_is_magic
rose_(mlp),27127,friendship_is_magic
sierra_(mana),27104,mana_(series)
kneesocks_daemon,27096,panty_and_stocking_with_garterbelt
hung_(arknights),26742,arknights
red_savarin,26683,solatorobo
mr._peabody,26597,mr._peabody_and_sherman
yossi,26459,telemonster
taylor_renee_wolford_(darkflamewolf),26006,legend_of_ahya
courage_the_cowardly_dog_(character),25916,courage_the_cowardly_dog
minuette_(mlp),25902,friendship_is_magic
madelyn_adelaide,25822,twokinds
mace_(dreamkeepers),25813,dreamkeepers
sabrina_(sabrina_online),25707,sabrina_online
medusa,25690,greek_mythology
curt_(animal_crossing),25648,animal_crossing
sona_(lol),25430,league_of_legends
kagerou_imaizumi,25385,touhou
jevil_(deltarune),25372,deltarune
jade_harley,25268,homestuck
tree_hugger_(mlp),25168,friendship_is_magic
aria_blaze_(eg),25153,equestria_girls
twilight_sparkle_(eg),25104,equestria_girls
flaky_(htf),24879,happy_tree_friends
elh_melizee,24701,solatorobo
webby_vanderquack,24471,ducktales
my_melody,24224,onegai_my_melody
cassie_(dragon_tales),24125,dragon_tales
kuromi,24095,onegai_my_melody
bubsy,24013,bubsy_(series)
kumatetsu,24011,the_boy_and_the_beast
dale_(disney),23870,disney
zipp_storm_(mlp),23787,mlp_g5
fara_phoenix,23731,star_fox
donald_duck,23559,disney
spring_bonnie_(fnaf),23428,five_nights_at_freddy's
sash_lilac,23367,freedom_planet
ms._chalice,22839,cuphead_(game)
julie_bruin,22798,tiny_toon_adventures
reuben_(lilo_and_stitch),22793,lilo_and_stitch
nepeta_leijon,22650,homestuck
dinky_hooves_(mlp),22598,friendship_is_magic
chaos_(sonic),22553,sonic_adventure
sajin_komamura,22521,bleach_(series)
zephyr_breeze_(mlp),22469,friendship_is_magic
king_(tekken),22415,tekken
somnambula_(mlp),22223,friendship_is_magic
duke_weaselton,22170,zootopia
custom_character_(sonic_forces),22157,sonic_forces
ryekie_(live_a_hero),22148,live_a_hero
maren_taverndatter,22109,twokinds
set_(deity),22003,egyptian_mythology
lupe_the_wolf,21970,sonic_the_hedgehog_(archie)
jake_clawson,21938,swat_kats
espio_the_chameleon,21898,sonic_the_hedgehog_(series)
napstablook,21838,undertale
leviathan_(skullgirls),21783,skullgirls
mega_man_(character),21731,mega_man_(series)
eleanor_miller,21633,alvin_and_the_chipmunks
mountain_(arknights),21626,arknights
paprika_paca_(tfh),21521,them's_fightin'_herds
coloratura_(mlp),21208,friendship_is_magic
kogenta_(onmyou_taisenki),20672,onmyou_taisenki
drone_(mlp),20610,friendship_is_magic
katt_(breath_of_fire),20566,breath_of_fire
mr._piranha_(the_bad_guys),20554,the_bad_guys
nazrin,20455,touhou
serval-chan,20432,kemono_friends
oleander_(tfh),20379,them's_fightin'_herds
turanga_leela,20204,futurama
tiny_tiger,19943,crash_bandicoot_(series)
avocato,19876,final_space
rabbit_(winnie_the_pooh),19602,winnie_the_pooh_(franchise)
jennifer_(study_partners),19575,study_partners
jeane_(ceehaz),19438,dog_knight_rpg
zooey_the_fox,19265,sonic_boom
torahiko_(morenatsu),19203,morenatsu
shade_the_echidna,19181,sonic_chronicles:_the_dark_brotherhood
alakay_alex,19113,madagascar_(series)
mei_(one_stormy_night),19065,one_stormy_night
metal_sonic,18865,sonic_the_hedgehog_(series)
princess_jasmine_(disney),18622,disney's_aladdin
hitch_trailblazer_(mlp),18470,mlp_g5
puppet_bonnie_(fnafsl),18469,sister_location
kennen_(lol),18438,league_of_legends
prince_blueblood_(mlp),18280,friendship_is_magic
carmen_(animal_crossing),18239,animal_crossing
flippy_(htf),18213,happy_tree_friends
remmy_cormo,18118,pack_street
leo_(saitama_seibu_lions),17878,saitama_seibu_lions
gabu,17818,one_stormy_night
penelope_pussycat,17761,looney_tunes
leia_organa,17392,star_wars
spike_(eg),17348,equestria_girls
masyunya_(vkontakte),17255,vkontakte
withered_bonnie_(fnaf),17246,five_nights_at_freddy's_2
don_karnage,17184,talespin
hoity_toity_(mlp),17151,friendship_is_magic
scourge_the_hedgehog,17077,sonic_the_hedgehog_(archie)
pepper_clark,16870,littlest_pet_shop
jumba_jookiba,16744,lilo_and_stitch
king_kazma,16690,summer_wars
pom_(tfh),16643,them's_fightin'_herds
lien-da,16639,sonic_the_hedgehog_(archie)
shin_(morenatsu),16486,morenatsu
milla_basset,16275,freedom_planet
kimba,16251,kimba_the_white_lion
carrot_top_(mlp),16033,friendship_is_magic
cleo_catillac,15898,heathcliff_and_the_catillac_cats
granny_smith_(mlp),15409,friendship_is_magic
cham_cham,15391,samurai_shodown
photo_finish_(mlp),15373,friendship_is_magic
shadowbolts_(mlp),15351,friendship_is_magic
aak_(arknights),15344,arknights
ariel_(disney),14917,the_little_mermaid_(1989)
wolfrun,14704,pretty_cure
shun_(morenatsu),14629,morenatsu
king_snugglemagne_xxv,14437,mao_mao:_heroes_of_pure_heart
bendy_the_dancing_demon,14348,bendy_and_the_ink_machine
fang_(gvh),14326,goodbye_volcano_high
mighty_the_armadillo,14263,sonic_the_hedgehog_(series)
fluffle_puff,14262,my_little_pony
slenderman,14031,creepypasta
hiroyuki_(morenatsu),13888,morenatsu
rhea_snaketail,13773,slightly_damned
felina_feral,13265,swat_kats
tirek_(mlp),13221,friendship_is_magic
sulley,13202,monsters_inc
snails_(mlp),13071,friendship_is_magic
rouen_(shining),13068,shining_(sega)
macan_(tas),12930,tokyo_afterschool_summoners
medic_(team_fortress_2),12787,team_fortress_2
lena_(ducktales),12647,ducktales_(2017)
mugman,12407,cuphead_(game)
protagonist_(live_a_hero),12333,live_a_hero
meta_knight,12130,kirby_(series)
betty_(weaver),11995,pack_street
classic_sonic,11684,classic_sonic_(universe)
leo_(red_earth),11455,red_earth
officer_fangmeyer,11442,zootopia
leib_(tas),11055,tokyo_afterschool_summoners
rin_kaenbyou,11049,touhou
engineer_(team_fortress_2),10806,team_fortress_2
ranshiin,10288,legendz
super_sonic,10286,sonic_the_hedgehog_(series)
tianhuo_(tfh),10269,them's_fightin'_herds
gaster,10176,undertale
king_julien,10167,madagascar_(series)
violet_hopps,10003,zootopia
mane-iac_(mlp),9595,friendship_is_magic
winona_(mlp),9552,friendship_is_magic
charmy_bee,9250,sonic_the_hedgehog_(series)
hecarim_(lol),9224,league_of_legends
twist_(mlp),9127,friendship_is_magic
doggie_kruger,8990,power_rangers
kyubey,8889,puella_magi_madoka_magica
smartypants_(mlp),8780,friendship_is_magic
furlong_(live_a_hero),8607,live_a_hero
leroy_(lilo_and_stitch),8340,lilo_and_stitch
giygas,8321,earthbound_(series)
power_ponies_(mlp),8314,friendship_is_magic
snips_(mlp),8214,friendship_is_magic
general_yunan,8120,amphibia_(series)
zim_(invader_zim),8116,invader_zim
tatsuki_(morenatsu),8010,morenatsu
mad_rat_(mad_rat_dead),7682,mad_rat_dead
katz_(courage_the_cowardly_dog),7662,courage_the_cowardly_dog
valoo,7536,wind_waker
kai_the_collector,7519,kung_fu_panda
buwaro_elexion,7180,slightly_damned
goliath_(gargoyles),7088,gargoyles
bulk_biceps_(mlp),7071,friendship_is_magic
n_(pokemon),7016,pokemon
demona_(gargoyles),6117,gargoyles
ty_conrad,5961,texnatsu
rosa_(gvh),5899,goodbye_volcano_high
charlie_(weaver),5873,pack_street
balloon_boy_(fnaf),5437,five_nights_at_freddy's_2
trish_(gvh),5350,goodbye_volcano_high
nomad_(tas),5321,tokyo_afterschool_summoners
heart_(mad_rat_dead),4679,mad_rat_dead
miyamoto_usagi,4606,usagi_yojimbo
bonnie_(lilo_and_stitch),4346,lilo_and_stitch
ruby_(jewelpet),4331,jewelpet
clarice_(disney),3983,disney
lauren_faust_(character),3383,friendship_is_magic
jinbe,3328,one_piece
doraemon_(character),3164,doraemon
kounosuke_(morenatsu),2845,morenatsu
reed_(gvh),2844,goodbye_volcano_high
backy_(mlp),2808,my_little_pony
surprise_(pre-g4),2600,my_little_pony
hiro_amanokawa,1936,digimon
lucy_(bcb),1709,bittersweet_candy_bowl
stella_(gvh),1612,goodbye_volcano_high
neri_(caelum_sky),1219,caelum_sky
ruri_tsukiyono,981,digimon
wendy_pleakley,769,lilo_and_stitch
